DATE,HOUR,NC,SC,VA,KY,MD,NY,MI,CA,WA,WI
2016-10-29,00,45,54.0,41.0,45.0,35.0,31.0,47.0,43.0,36.0,55.0
2016-10-29,01,44,52.0,40.0,45.0,35.0,31.0,47.0,45.0,34.0,55.0
2016-10-29,02,43,52.0,39.0,45.0,35.0,32.0,48.0,46.0,36.0,53.0
2016-10-29,03,43,52.0,38.0,45.0,35.0,34.0,49.0,46.0,34.0,50.0
2016-10-29,04,42,50.0,38.0,45.0,35.0,35.0,50.0,45.0,34.0,47.0
2016-10-29,05,41,50.0,39.0,45.0,34.0,34.0,51.0,44.0,34.0,47.0
2016-10-29,06,40,50.0,38.0,45.0,34.0,34.0,52.0,45.0,36.0,46.0
2016-10-29,07,41,52.0,44.0,45.0,39.0,34.0,54.0,45.0,37.0,45.0
2016-10-29,08,47,57.0,48.0,46.0,44.0,34.0,56.0,45.0,37.0,46.0
2016-10-29,09,49,59.0,47.0,48.0,45.0,34.0,58.0,45.0,39.0,46.0
2016-10-29,10,44,61.0,49.0,49.0,43.0,35.0,59.0,43.0,43.0,46.0
2016-10-29,11,44,59.0,51.0,52.0,46.0,35.0,60.0,42.0,43.0,46.0
2016-10-29,12,48,59.0,52.0,54.0,48.0,36.0,60.0,43.0,43.0,46.0
2016-10-29,13,50,57.0,53.0,53.0,50.0,37.0,60.0,42.0,45.0,46.0
2016-10-29,14,51,57.0,53.0,51.0,51.0,39.0,60.0,41.0,45.0,45.0
2016-10-29,15,53,55.0,53.0,51.0,52.0,39.0,60.0,39.0,45.0,45.0
2016-10-29,16,54,55.0,54.0,50.0,53.0,42.0,60.0,38.0,43.0,47.0
2016-10-29,17,58,57.0,55.0,51.0,53.0,41.0,60.0,37.0,43.0,47.0
2016-10-29,18,56,57.0,55.0,51.0,55.0,41.0,60.0,36.0,45.0,47.0
2016-10-29,19,55,57.0,56.0,51.0,56.0,41.0,60.0,36.0,36.0,47.0
2016-10-29,20,54,57.0,56.0,51.0,57.0,40.0,60.0,36.0,36.0,47.0
2016-10-29,21,54,55.0,56.0,51.0,57.0,39.0,60.0,36.0,36.0,47.0
2016-10-29,22,54,57.0,56.0,52.0,56.0,41.0,60.0,36.0,32.0,45.0
2016-10-29,23,54,55.0,56.0,52.0,56.0,41.0,60.0,36.0,36.0,44.0
2016-10-30,00,54,55.0,56.0,52.0,56.0,48.0,59.0,35.0,32.0,44.0
2016-10-30,01,54,57.0,55.0,52.0,55.0,50.0,60.0,33.0,32.0,44.0
2016-10-30,02,54,57.0,54.0,52.0,54.0,48.0,60.0,32.0,30.0,42.0
2016-10-30,03,54,57.0,53.0,52.0,55.0,47.0,54.0,31.0,28.0,38.0
2016-10-30,04,53,55.0,54.0,52.0,54.0,46.0,52.0,31.0,28.0,36.0
2016-10-30,05,53,54.0,53.0,52.0,53.0,46.0,52.0,30.0,28.0,34.0
2016-10-30,06,53,54.0,53.0,52.0,52.0,46.0,53.0,30.0,25.0,34.0
2016-10-30,07,53,54.0,54.0,52.0,56.0,47.0,51.0,37.0,28.0,33.0
2016-10-30,08,58,59.0,55.0,53.0,57.0,47.0,49.0,40.0,32.0,36.0
2016-10-30,09,60,61.0,56.0,54.0,57.0,46.0,49.0,41.0,37.0,37.0
2016-10-30,10,60,61.0,56.0,54.0,58.0,47.0,48.0,36.0,39.0,38.0
2016-10-30,11,61,57.0,56.0,56.0,58.0,47.0,47.0,33.0,39.0,38.0
2016-10-30,12,60,55.0,55.0,56.0,60.0,46.0,46.0,37.0,39.0,38.0
2016-10-30,13,59,54.0,54.0,54.0,60.0,46.0,44.0,36.0,43.0,37.0
2016-10-30,14,57,52.0,56.0,53.0,59.0,47.0,44.0,35.0,43.0,38.0
2016-10-30,15,57,52.0,54.0,53.0,58.0,48.0,44.0,36.0,39.0,37.0
2016-10-30,16,60,52.0,55.0,53.0,57.0,48.0,42.0,35.0,39.0,38.0
2016-10-30,17,63,52.0,56.0,53.0,60.0,46.0,41.0,38.0,41.0,38.0
2016-10-30,18,61,54.0,56.0,53.0,61.0,44.0,40.0,37.0,39.0,39.0
2016-10-30,19,60,54.0,56.0,53.0,60.0,42.0,40.0,37.0,43.0,38.0
2016-10-30,20,59,54.0,56.0,53.0,59.0,41.0,39.0,37.0,43.0,40.0
2016-10-30,21,59,54.0,58.0,59.0,57.0,40.0,39.0,38.0,41.0,40.0
2016-10-30,22,58,52.0,56.0,60.0,54.0,40.0,40.0,38.0,41.0,39.0
2016-10-30,23,56,52.0,56.0,60.0,53.0,40.0,40.0,39.0,43.0,36.0
2016-11-08,00,34,37.0,33.0,38.0,32.0,28.0,40.0,39.0,43.0,47.0
2016-11-08,01,32,36.0,32.0,38.0,32.0,28.0,39.0,38.0,43.0,47.0
2016-11-08,02,32,34.0,32.0,38.0,30.0,28.0,40.0,38.0,41.0,46.0
2016-11-08,03,32,34.0,32.0,38.0,32.0,25.0,39.0,38.0,39.0,45.0
